specification_id,pool_id,signal_id,selection_rule,cadence,test_class,warning,window_id,selected_gross_cagr,selected_net_cagr,equal_pool_cagr,global_benchmark_cagr,unselected_pool_cagr,selected_gross_excess_vs_pool_cagr,selected_net_excess_vs_pool_cagr,selected_gross_excess_vs_global_cagr,selected_net_excess_vs_global_cagr,selected_vs_unselected_cagr_spread,selected_net_annualised_volatility,selected_net_sharpe_zero_cash_hurdle,selected_net_sortino_zero_cash_hurdle,selected_net_maximum_drawdown,selected_net_calmar,selected_net_ulcer_index,selected_net_worst_month,selected_net_worst_rolling_three_months,selected_net_maximum_recovery_duration_calendar_days,selected_net_annual_turnover_traded_notional,selected_net_executed_rebalances,selected_net_trade_legs,selected_net_average_holding_period_calendar_days,selected_net_percentage_invested,selected_net_average_holding_count,selected_net_average_concentration_hhi,selected_net_total_transaction_cost_rate,selected_net_cancelled_rebalances
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",LATEST_5Y,0.20388267195035037,0.14211985877603928,0.19049251314477278,0.11568564329764564,0.17686382688496316,0.01339015880557759,-0.0483726543687335,0.08819702865270473,0.02643421547839364,0.02701884506538721,0.343012478350633,0.4143285383068835,0.5491917089971974,-0.4810076984105798,0.2954627529780786,0.20610008554158282,-0.2601944447090473,-0.4810076984105798,923.0,26.34733893171806,66,131,27.876923076923077,1.0,1.0,1.0,0.26334579518681145,1
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",LATEST_3Y,0.17845250600934115,0.0989948818879387,0.31090791194215917,0.18682342362237514,0.3241284978093988,-0.13245540593281802,-0.21191303005422046,-0.00837091761303399,-0.08782854173443644,-0.14567599180005764,0.34417692135576483,0.2876278906150445,0.3769677558460921,-0.4810076984105798,0.20580727130782508,0.17388830697336932,-0.2601944447090473,-0.4810076984105798,305.0,34.65804744525548,52,104,21.137254901960784,1.0,1.0,1.0,0.2090491155863282,1
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_2|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",LATEST_5Y,0.15382379873914798,0.10985956094603977,0.19049251314477278,0.11568564329764564,0.1884109024966074,-0.0366687144056248,-0.08063295219873301,0.03813815544150234,-0.005826082351605866,-0.034587103757459436,0.28148638613169247,0.39028374500016616,0.5002459230659333,-0.3945474926561706,0.2784444534330805,0.14535567459629428,-0.24446417411754673,-0.36033496880591676,798.0,19.170596713754538,90,274,20.359550561797754,1.0,2.0,0.5004342730772287,0.19496666642847452,1
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_2|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",LATEST_3Y,0.2707771614013188,0.22054916988609063,0.31090791194215917,0.18682342362237514,0.3031080256097223,-0.040130750540840365,-0.09035874205606853,0.08395373777894366,0.033725746263715495,-0.032330864208403476,0.30124745125405233,0.7321196211552141,0.9094752098583662,-0.3945474926561706,0.5589927042782876,0.14393019669570006,-0.24446417411754673,-0.36033496880591676,367.0,19.727043689542406,54,167,20.339622641509433,1.0,2.0,0.5003419553309624,0.12086870780060331,1
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_3|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",LATEST_5Y,0.24241417097501694,0.2066723415627323,0.19049251314477278,0.11568564329764564,0.1447493322171094,0.05192165783024416,0.016179828417959508,0.1267285276773713,0.09098669826508665,0.09766483875790755,0.22949007060980436,0.9005720422393855,1.2173137327011307,-0.28227319924092575,0.732171322387335,0.09914441211400464,-0.1575330095460794,-0.2031731039504685,749.0,14.234504045518612,103,412,17.627450980392158,1.0,3.0,0.333860716784088,0.14707734181983073,0
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_3|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",LATEST_3Y,0.3994343756008851,0.3626610290809651,0.31090791194215917,0.18682342362237514,0.254331254154194,0.08852646365872596,0.051753117138805926,0.21261095197851,0.17583760545858995,0.14510312144669113,0.24046467707856972,1.5081675757411506,2.0187808540288996,-0.21969181525434056,1.6507716897013522,0.07544469753620518,-0.1575330095460794,-0.17077095464804537,172.0,12.872776428060654,57,228,17.625,1.0,3.0,0.3340163014973257,0.07984999283662851,0
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_5|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",LATEST_5Y,0.22798514407551718,0.19995643921477524,0.19049251314477278,0.11568564329764564,0.11684347921448546,0.0374926309307444,0.00946392607000246,0.11229950077787154,0.0842707959171296,0.11114166486103172,0.18861034698373652,1.060156255542105,1.506139502625131,-0.21446216454168454,0.9323623103501324,0.09369531687073701,-0.11173011563696744,-0.16770335372410528,874.0,10.74139361601281,119,720,15.35593220338983,1.0,5.0,0.20049714854330217,0.11682355185639487,1
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_5|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",LATEST_3Y,0.412902705198696,0.38582690580746504,0.31090791194215917,0.18682342362237514,0.17043586381863252,0.10199479325653682,0.07491899386530587,0.22607928157632085,0.1990034821850899,0.24246684138006347,0.19053959164602707,2.0249172493464296,2.878478949319986,-0.15646916734820981,2.465833444034617,0.047567555868762726,-0.08103099433523697,-0.08056513313588431,172.0,8.975822577155036,60,364,18.271186440677965,1.0,5.0,0.2005179647887009,0.058032814083129186,1
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",LATEST_5Y,0.14597978721449634,0.08777922633346846,0.19798031228296242,0.12278806634319861,0.1942975893145118,-0.052000525068466086,-0.11020108594949396,0.023191720871297727,-0.03500884000973015,-0.04831780210001546,0.30135513874635567,0.29128166421396384,0.36137441121250313,-0.3766997599043428,0.2330217209476286,0.22481874390428364,-0.22585438449414585,-0.30161888081308685,1181.0,25.785958220943066,122,268,14.809917355371901,0.9082864038616251,1.6009654062751408,0.5978357435138599,0.25801554677097954,1
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",LATEST_3Y,0.298805106510482,0.22588355566504803,0.31090791194215917,0.18682342362237514,0.29398803651750605,-0.012102805431677188,-0.08502435627711113,0.11198168288810684,0.03906013204267289,0.004817069992975931,0.3047952607794611,0.7410993041275968,0.9427639557151818,-0.32676796507458494,0.6912659128427415,0.13902409598966295,-0.19603298142269332,-0.30161888081308685,462.0,28.761610981901395,84,201,13.156626506024097,0.9224704336399474,1.768725361366623,0.557833192083144,0.17591512681793234,1
