specification_id,pool_id,signal_id,selection_rule,cadence,test_class,warning,selected_gross_cagr,selected_net_cagr,equal_pool_cagr,global_benchmark_cagr,unselected_pool_cagr,selected_gross_excess_vs_pool_cagr,selected_net_excess_vs_pool_cagr,selected_gross_excess_vs_global_cagr,selected_net_excess_vs_global_cagr,selected_vs_unselected_cagr_spread,selected_net_annualised_volatility,selected_net_sharpe_zero_cash_hurdle,selected_net_sortino_zero_cash_hurdle,selected_net_maximum_drawdown,selected_net_calmar,selected_net_ulcer_index,selected_net_worst_month,selected_net_worst_rolling_three_months,selected_net_maximum_recovery_duration_calendar_days,selected_net_annual_turnover_traded_notional,selected_net_executed_rebalances,selected_net_trade_legs,selected_net_average_holding_period_calendar_days,selected_net_percentage_invested,selected_net_average_holding_count,selected_net_average_concentration_hhi,selected_net_total_transaction_cost_rate,selected_net_cancelled_rebalances,criteria_passed,criteria_total,gate_pass
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.20388267195035037,0.14211985877603928,0.19049251314477278,0.11568564329764564,0.17686382688496316,0.01339015880557759,-0.0483726543687335,0.08819702865270473,0.02643421547839364,0.02701884506538721,0.343012478350633,0.4143285383068835,0.5491917089971974,-0.4810076984105798,0.2954627529780786,0.20610008554158282,-0.2601944447090473,-0.4810076984105798,923.0,26.34733893171806,66,131,27.876923076923077,1.0,1.0,1.0,0.26334579518681145,1,,,
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_2|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.15382379873914798,0.10985956094603977,0.19049251314477278,0.11568564329764564,0.1884109024966074,-0.0366687144056248,-0.08063295219873301,0.03813815544150234,-0.005826082351605866,-0.034587103757459436,0.28148638613169247,0.39028374500016616,0.5002459230659333,-0.3945474926561706,0.2784444534330805,0.14535567459629428,-0.24446417411754673,-0.36033496880591676,798.0,19.170596713754538,90,274,20.359550561797754,1.0,2.0,0.5004342730772287,0.19496666642847452,1,,,
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_3|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.24241417097501694,0.2066723415627323,0.19049251314477278,0.11568564329764564,0.1447493322171094,0.05192165783024416,0.016179828417959508,0.1267285276773713,0.09098669826508665,0.09766483875790755,0.22949007060980436,0.9005720422393855,1.2173137327011307,-0.28227319924092575,0.732171322387335,0.09914441211400464,-0.1575330095460794,-0.2031731039504685,749.0,14.234504045518612,103,412,17.627450980392158,1.0,3.0,0.333860716784088,0.14707734181983073,0,,,
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|TOP_5|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.22798514407551718,0.19995643921477524,0.19049251314477278,0.11568564329764564,0.11684347921448546,0.0374926309307444,0.00946392607000246,0.11229950077787154,0.0842707959171296,0.11114166486103172,0.18861034698373652,1.060156255542105,1.506139502625131,-0.21446216454168454,0.9323623103501324,0.09369531687073701,-0.11173011563696744,-0.16770335372410528,874.0,10.74139361601281,119,720,15.35593220338983,1.0,5.0,0.20049714854330217,0.11682355185639487,1,,,
INDUSTRY|MH_LEVEL_3_6_12_REFERENCE|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,MH_LEVEL_3_6_12_REFERENCE,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.14597978721449634,0.08777922633346846,0.19798031228296242,0.12278806634319861,0.1942975893145118,-0.052000525068466086,-0.11020108594949396,0.023191720871297727,-0.03500884000973015,-0.04831780210001546,0.30135513874635567,0.29128166421396384,0.36137441121250313,-0.3766997599043428,0.2330217209476286,0.22481874390428364,-0.22585438449414585,-0.30161888081308685,1181.0,25.785958220943066,122,268,14.809917355371901,0.9082864038616251,1.6009654062751408,0.5978357435138599,0.25801554677097954,1,,,
INDUSTRY|MH_LEVEL_EQ|TOP_1|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_1,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.04212154633258991,-0.03287362306055286,0.19049251314477278,0.11568564329764564,0.19660872400149154,-0.14837096681218287,-0.22336613620532564,-0.07356409696505573,-0.1485592663581985,-0.15448717766890163,0.3381316827520999,-0.09722136297015989,-0.12168542133829147,-0.5642533062984915,-0.058260399529077155,0.29026033598817086,-0.21163473263630128,-0.3553127502645754,1263.0,37.20807406387665,93,185,19.619565217391305,1.0,1.0,1.0,0.3726027456336747,1,,,
INDUSTRY|MH_LEVEL_EQ|TOP_2|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_2,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.19844891820063215,0.14354935038659278,0.19049251314477278,0.11568564329764564,0.1690928550379549,0.007956405055859372,-0.04694316275818,0.08276327490298652,0.027863707088947143,0.02935606316267725,0.26851440246366565,0.534605775591562,0.6974697760451084,-0.3205033297061227,0.44788723573704103,0.15516111876885236,-0.19788351758821499,-0.2800299081978137,917.0,23.18198480680731,107,328,17.028301886792452,1.0,2.0,0.5003766703345419,0.2349059470829993,1,,,
INDUSTRY|MH_LEVEL_EQ|TOP_3|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_3,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.21889728932908792,0.1704617182052781,0.19049251314477278,0.11568564329764564,0.1574673633130037,0.02840477618431514,-0.020030794939494667,0.10321164603144228,0.05477607490763248,0.06142992601608421,0.22726601425340703,0.7500537146535655,1.0229896869114161,-0.2407430278285595,0.7080650257778976,0.11322700737945045,-0.14410854370402393,-0.1966571192948754,462.0,19.66368870701903,133,542,13.727272727272727,1.0,3.0,0.3337476869962861,0.20349285774919132,1,,,
INDUSTRY|MH_LEVEL_EQ|TOP_5|WEEKLY,INDUSTRY,MH_LEVEL_EQ,TOP_5,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.20441872298011243,0.16767713027090347,0.19049251314477278,0.11568564329764564,0.15454714887206134,0.013926209835339654,-0.022815382873869305,0.0887330796824668,0.05199148697325784,0.0498715741080511,0.1898322023451861,0.8832912867228058,1.2258343868117663,-0.21934408615866485,0.7644479192824577,0.09195502290847718,-0.10557546835677889,-0.1872815141281461,882.0,14.407700842104454,152,930,12.0,1.0,5.0,0.2002521366746186,0.1560328434467221,1,,,
INDUSTRY|MH_LEVEL_EQ|VARIABLE_THRESHOLD|WEEKLY,INDUSTRY,MH_LEVEL_EQ,VARIABLE_THRESHOLD,WEEKLY,FROZEN_FROM_A3R1R1,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.09126043624108404,0.0348792336479542,0.19049251314477278,0.11568564329764564,0.17577434871256958,-0.09923207690368874,-0.15561327949681858,-0.024425207056561593,-0.08080640964969144,-0.08451391247148554,0.28907304027497266,0.12065889511791311,0.1441842969258528,-0.4209782597837305,0.08285281445619719,0.22271284625855137,-0.21676525690276816,-0.30043339272979064,952.0,26.322785490440186,121,259,15.1,0.8743038981702467,1.4216388225934766,0.6238428814540602,0.2654580343154515,1,,,
